period,median_price,avg_price,listings_count,avg_km,avg_age,q25_price,q75_price,iqr_price,is_reliable_month,week_number,month
2020-07-31,5200.0,5277.272727272727,11,2968.3,9.909090909090908,4550.0,6350.0,1800.0,True,31,7
2020-08-31,4000.0,4184.285714285715,7,777.1428571428571,11.857142857142858,3750.0,4500.0,750.0,False,36,8
2020-09-30,5700.0,5700.909090909091,33,2583.3,9.121212121212121,4600.0,6000.0,1400.0,True,40,9
2020-10-31,6150.0,6432.1875,32,872.6551724137931,8.8125,5142.5,7600.0,2457.5,True,44,10
2020-12-31,4200.0,4998.75,8,1.0,10.25,3712.5,4775.0,1062.5,False,53,12
2021-01-31,7000.0,7303.478260869565,46,1849.4285714285713,8.304347826086957,6000.0,8500.0,2500.0,True,4,1
2021-02-28,6600.0,6858.0,5,96.0,8.2,5800.0,7800.0,2000.0,False,8,2
2021-03-31,9800.0,9533.333333333334,6,73.0,7.333333333333333,9800.0,11375.0,1575.0,False,13,3
2021-04-30,7050.0,6666.0,30,2128.5714285714284,8.566666666666666,5300.0,7500.0,2200.0,True,17,4
2021-05-31,5595.0,5818.0,10,3481.7,12.2,4075.0,7217.5,3142.5,True,22,5
2021-06-30,5225.0,5375.0,4,2234.0,6.5,4862.5,5737.5,875.0,False,26,6
2021-07-31,6800.0,6751.944444444444,18,2604.5,7.722222222222222,5950.0,7400.0,1450.0,True,30,7
2021-09-30,5400.0,6010.0,10,31.4,6.0,5312.5,7012.5,1700.0,True,39,9
2021-10-31,7200.0,7007.096774193548,31,1392.1785714285713,6.709677419354839,6395.0,7645.0,1250.0,True,43,10
2021-11-30,6650.0,6271.428571428572,7,2693.3333333333335,7.0,5575.0,6875.0,1300.0,False,48,11
2021-12-31,5300.0,5542.857142857143,7,1648.6666666666667,7.428571428571429,4750.0,6075.0,1325.0,False,52,12
2022-01-31,5450.0,5366.666666666667,9,1353.0,7.0,4850.0,5800.0,950.0,False,5,1
2022-02-28,5950.0,5818.75,8,0.0,7.0,5425.0,6350.0,925.0,False,9,2
2022-03-31,5125.0,5175.0,4,0.0,7.0,4687.5,5612.5,925.0,False,13,3
2022-04-30,4900.0,5107.142857142857,7,0.0,7.0,4375.0,5825.0,1450.0,False,17,4
2022-05-31,5100.0,4775.0,4,0.0,7.0,4437.5,5437.5,1000.0,False,22,5
2022-06-30,5500.0,5050.0,3,4394.0,8.333333333333334,4575.0,5750.0,1175.0,False,26,6
2022-07-31,6350.0,6553.636363636364,11,49.2,5.363636363636363,5875.0,7495.0,1620.0,True,30,7
2022-08-31,8445.0,8380.0,6,902.2,4.333333333333333,6525.0,10147.5,3622.5,False,35,8
2022-09-30,6675.0,6575.0,4,5.0,4.0,6287.5,6962.5,675.0,False,39,9
2022-10-31,6000.0,6335.714285714285,7,2716.4285714285716,6.571428571428571,5800.0,6900.0,1100.0,False,44,10
