period,avg_price,median_price,listings_count,avg_km,avg_age,vintage_share,youngtimer_share,two_stroke_share,week_number,month
2020-06-30,7695.0,8175.0,10,14425.625,12.9,0.0,0.1,0.0,27,6
2020-07-31,5511.875,5600.0,16,3451.785714285714,11.375,0.0,0.125,0.0,31,7
2020-08-31,3759.0,3750.0,10,1343.3,16.0,0.0,0.3,0.0,36,8
2020-09-30,5788.513513513513,4200.0,74,7608.242857142857,26.41891891891892,0.4864864864864865,0.05405405405405406,0.04054054054054054,40,9
2020-10-31,6084.883720930233,5900.0,43,1893.5897435897436,9.674418604651162,0.0,0.09302325581395349,0.2558139534883721,44,10
2020-11-30,6933.0,6850.0,10,15911.555555555555,12.5,0.0,0.2,0.0,49,11
2020-12-31,4644.0,3975.0,10,1.0,13.0,0.0,0.2,0.0,53,12
2021-01-31,6373.050847457627,6500.0,59,2213.3703703703704,10.372881355932204,0.0,0.2033898305084746,0.1694915254237288,4,1
2021-02-28,7050.0,7200.0,11,2387.5555555555557,7.909090909090909,0.0,0.0,0.0,8,2
2021-03-31,6013.333333333333,6500.0,21,2763.2105263157896,18.666666666666668,0.2857142857142857,0.0,0.14285714285714285,13,3
2021-04-30,5007.035294117647,4900.0,85,9191.65,25.094117647058823,0.43529411764705883,0.09411764705882353,0.2,17,4
2021-05-31,5526.486486486487,4400.0,37,16571.891891891893,26.89189189189189,0.43243243243243246,0.24324324324324326,0.05405405405405406,22,5
2021-06-30,4761.111111111111,4950.0,9,10827.333333333334,19.333333333333332,0.2222222222222222,0.3333333333333333,0.1111111111111111,26,6
2021-07-31,4422.847826086957,4500.0,46,7348.681818181818,28.47826086956522,0.5217391304347826,0.08695652173913043,0.13043478260869565,30,7
2021-08-31,14975.0,3650.0,10,28340.0,39.4,1.0,0.0,0.0,35,8
2021-09-30,6010.0,5400.0,10,31.4,6.0,0.0,0.0,0.0,39,9
2021-10-31,6188.974358974359,6500.0,39,1692.9142857142858,8.025641025641026,0.0,0.07692307692307693,0.1282051282051282,43,10
2021-11-30,6155.0,6225.0,10,3754.3333333333335,10.0,0.0,0.2,0.1,48,11
2021-12-31,5640.0,5325.0,10,2959.4444444444443,10.3,0.0,0.2,0.0,52,12
2022-01-31,5585.0,5575.0,10,2348.3333333333335,7.1,0.0,0.0,0.0,5,1
2022-02-28,5670.0,5750.0,10,111.2,7.4,0.0,0.0,0.0,9,2
2022-03-31,5145.0,5225.0,10,295.6,8.2,0.0,0.0,0.0,13,3
2022-04-30,4925.0,4825.0,10,175.3,7.6,0.0,0.0,0.0,17,4
2022-05-31,4675.0,4675.0,10,271.4,8.2,0.0,0.0,0.0,22,5
2022-06-30,5294.444444444444,5500.0,9,3611.3333333333335,10.88888888888889,0.0,0.3333333333333333,0.3333333333333333,26,6
2022-07-31,6270.384615384615,6000.0,26,5525.217391304348,8.038461538461538,0.0,0.15384615384615385,0.038461538461538464,30,7
2022-08-31,6948.571428571428,6850.0,14,5027.615384615385,8.642857142857142,0.0,0.21428571428571427,0.07142857142857142,35,8
2022-09-30,6685.0,6525.0,10,1866.8,8.9,0.0,0.3,0.1,39,9
2022-10-31,6516.666666666667,6000.0,9,8697.555555555555,11.333333333333334,0.1111111111111111,0.1111111111111111,0.6666666666666666,44,10
2022-11-30,6412.222222222223,6395.0,18,10427.5625,14.88888888888889,0.2222222222222222,0.05555555555555555,0.3333333333333333,48,11
2022-12-31,4027.2727272727275,4000.0,11,25064.636363636364,25.90909090909091,0.45454545454545453,0.2727272727272727,0.0,52,12
2023-01-31,8645.0,8450.0,10,78.8,4.0,0.0,0.0,0.0,5,1
2023-02-28,7261.0,8645.0,10,3455.5555555555557,8.2,0.0,0.2,0.0,9,2
2023-03-31,3933.0,3845.0,10,2640.0,9.2,0.0,0.2,0.3,13,3
2023-04-30,8035.0,6800.0,12,18505.4,11.333333333333334,0.0,0.16666666666666666,0.0,17,4
2023-05-31,7340.0,7500.0,10,22467.9,13.4,0.0,0.4,0.0,22,5
2023-06-30,7300.0,7325.0,10,26169.3,14.9,0.0,0.3,0.0,26,6
2023-07-31,7020.0,7550.0,10,22973.6,13.1,0.0,0.3,0.0,31,7
2023-08-31,6455.0,6525.0,10,19756.7,13.7,0.0,0.5,0.0,35,8
2023-09-30,7015.0,7275.0,10,24508.8,13.7,0.0,0.2,0.0,39,9
2023-10-31,6839.285714285715,6925.0,14,7797.0,9.285714285714286,0.0,0.14285714285714285,0.42857142857142855,44,10
2023-11-30,7220.0,7150.0,10,805.875,3.8,0.0,0.0,0.7,48,11
2023-12-31,6665.0,6650.0,10,2086.5555555555557,5.0,0.0,0.0,0.7,52,12
2024-01-31,6745.833333333333,6475.0,12,4238.916666666667,6.333333333333333,0.0,0.0,0.5,5,1
2024-02-29,6285.0,5995.0,16,4466.133333333333,7.5,0.0,0.125,0.5,9,2
2024-03-31,4840.0,4400.0,10,7699.444444444444,14.2,0.2,0.0,0.0,13,3
2024-04-30,5741.983333333334,5700.0,60,14295.280701754386,21.016666666666666,0.4,0.03333333333333333,0.16666666666666666,18,4
2024-05-31,7091.0526315789475,6500.0,19,6385.111111111111,30.36842105263158,0.5263157894736842,0.10526315789473684,0.0,22,5
2024-06-30,5435.882352941177,5300.0,17,5730.75,8.647058823529411,0.0,0.17647058823529413,0.23529411764705882,26,6
2024-07-31,5345.0,5375.0,10,17343.3,11.6,0.0,0.4,0.0,31,7
2024-08-31,5175.0,5200.0,8,5940.0,6.375,0.0,0.125,0.125,35,8
2024-09-30,6155.0,5925.0,10,3762.625,7.4,0.0,0.2,0.0,40,9
2024-10-31,5482.0,5695.0,10,4010.285714285714,7.1,0.0,0.2,0.0,44,10
2024-11-30,5182.708333333333,4945.0,48,5589.953488372093,7.5625,0.0,0.0625,0.20833333333333334,48,11
2024-12-31,7928.571428571428,6800.0,14,7009.2307692307695,6.642857142857143,0.0,0.14285714285714285,0.14285714285714285,1,12
2025-01-31,10951.875,10445.0,16,24281.571428571428,7.4375,0.0,0.0,0.0,5,1
2025-02-28,7245.625,7200.0,48,6715.545454545455,5.541666666666667,0.0,0.0,0.5208333333333334,9,2
2025-03-31,8093.8,8150.0,30,5620.75,6.2,0.0,0.03333333333333333,0.4666666666666667,14,3
2025-04-30,10908.0,11000.0,10,12792.666666666666,6.2,0.0,0.0,0.3,18,4
2025-05-31,7484.285714285715,7900.0,7,14968.285714285714,8.285714285714286,0.0,0.14285714285714285,0.0,22,5
2025-06-30,5275.555555555556,3500.0,45,3835.340909090909,32.71111111111111,0.6888888888888889,0.044444444444444446,0.022222222222222223,27,6
2025-07-31,4966.384615384615,4000.0,91,9618.244186046511,31.417582417582416,0.6483516483516484,0.07692307692307693,0.1978021978021978,31,7
2025-08-31,6153.943661971831,6000.0,71,8761.940298507463,12.183098591549296,0.14084507042253522,0.08450704225352113,0.3380281690140845,35,8
2025-09-30,8341.785714285714,8825.0,14,2683.0,4.571428571428571,0.0,0.0,0.14285714285714285,40,9
2025-10-31,8355.0,8425.0,10,2325.2,5.7,0.0,0.2,0.5,44,10
2025-11-30,7400.0,7600.0,10,2287.0,5.5,0.0,0.1,0.8,48,11
2025-12-31,8315.0,8675.0,10,724.5555555555555,4.8,0.0,0.0,0.9,1,12
2026-01-31,7905.0,8150.0,10,527.3,3.0,0.0,0.0,0.0,5,1
2026-02-28,6639.0,6800.0,10,440.4,3.0,0.0,0.0,0.0,9,2
2026-03-31,5122.460674157303,5800.0,89,10080.632911392406,18.1123595505618,0.3146067415730337,0.0449438202247191,0.19101123595505617,14,3
2026-04-30,5423.735042735043,5400.0,117,9905.775700934579,23.0,0.38461538461538464,0.1111111111111111,0.1623931623931624,18,4
2026-05-31,5909.739130434783,5200.0,276,11266.61568627451,16.079710144927535,0.2536231884057971,0.11231884057971014,0.19202898550724637,22,5
