age_band,km_band,listings_count,median_price,avg_price,q25_price,q75_price,min_price,max_price,avg_age,avg_km,iqr_price,coverage_status,needs_more_observations,rows_needed_to_min20
0-2,0-5k,92,8550.0,8728.576086956522,7500.0,9899.25,5100.0,12600.0,1.5434782608695652,461.4347826086956,2399.25,strong,False,0
0-2,5-10k,1,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,2.0,5500.0,0.0,weak,True,19
0-2,10-15k,0,,,,,,,,,,empty,False,20
0-2,15k+,0,,,,,,,,,,empty,False,20
3-5,0-5k,274,7200.0,7336.80291970803,6300.0,8337.5,3200.0,13900.0,3.9014598540145986,685.7664233576643,2037.5,strong,False,0
3-5,5-10k,20,6175.0,6294.45,5900.0,6525.0,4600.0,7999.0,3.95,7174.85,625.0,strong,False,0
3-5,10-15k,0,,,,,,,,,,empty,False,20
3-5,15k+,0,,,,,,,,,,empty,False,20
6-10,0-5k,267,6200.0,6410.337078651685,5495.0,7200.0,2700.0,11990.0,7.415730337078652,1030.880149812734,1705.0,strong,False,0
6-10,5-10k,43,5900.0,6002.790697674419,5445.0,6875.0,3500.0,9900.0,7.837209302325581,7394.720930232558,1430.0,strong,False,0
6-10,10-15k,3,5800.0,6063.333333333333,5600.0,6395.0,5400.0,6990.0,8.0,12203.333333333334,795.0,weak,True,17
6-10,15k+,20,4800.0,4667.5,3937.5,5337.5,2500.0,6400.0,7.65,19973.8,1400.0,strong,False,0
11-20,0-5k,53,4100.0,4350.0,3900.0,4750.0,2900.0,7390.0,13.264150943396226,817.1509433962265,850.0,strong,False,0
11-20,5-10k,20,4400.0,4795.0,4100.0,4650.0,3300.0,8100.0,13.05,7728.45,550.0,strong,False,0
11-20,10-15k,17,4300.0,4560.588235294118,4000.0,4700.0,3650.0,7000.0,12.529411764705882,12751.941176470587,700.0,weak,True,3
11-20,15k+,12,5600.0,5645.75,4762.5,6412.25,4000.0,7500.0,12.833333333333334,18633.75,1649.75,weak,True,8
20+,0-5k,0,,,,,,,,,,empty,False,20
20+,5-10k,0,,,,,,,,,,empty,False,20
20+,10-15k,0,,,,,,,,,,empty,False,20
20+,15k+,0,,,,,,,,,,empty,False,20
